Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/probe0_1,design_1_i/system_ila_0/inst/probe1_1,design_1_i/system_ila_0/inst/probe2_1,design_1_i/system_ila_0/inst/probe3_1,design_1_i/system_ila_0/inst/probe4_1,design_1_i/system_ila_0/inst/probe5_1,design_1_i/system_ila_0/inst/probe6_1[1:0],design_1_i/system_ila_0/inst/probe7_1,design_1_i/system_ila_0/inst/probe8_1,design_1_i/system_ila_0/inst/probe9_1,design_1_i/system_ila_0/inst/probe10_1[255:0],design_1_i/system_ila_0/inst/probe11_1,design_1_i/system_ila_0/inst/probe12_1[127:0],design_1_i/system_ila_0/inst/probe13_1[127:0],design_1_i/system_ila_0/inst/probe14_1,design_1_i/system_ila_0/inst/SLOT_0_ICAP_csib_1,design_1_i/system_ila_0/inst/SLOT_0_ICAP_i_1[31:0],design_1_i/system_ila_0/inst/SLOT_0_ICAP_o_1[31:0],design_1_i/system_ila_0/inst/SLOT_0_ICAP_rdwrb_1,design_1_i/system_ila_0/inst/SLOT_0_ICAP_avail_1,design_1_i/system_ila_0/inst/SLOT_0_ICAP_prdone_1,design_1_i/system_ila_0/inst/SLOT_0_ICAP_prerror_1,design_1_i/system_ila_0/inst/net_slot_1_axi_ar_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_1_axi_araddr[31:0],design_1_i/system_ila_0/inst/net_slot_1_axi_arburst[1:0],design_1_i/system_ila_0/inst/net_slot_1_axi_arcache[3:0],design_1_i/system_ila_0/inst/net_slot_1_axi_arlen[7:0],design_1_i/system_ila_0/inst/net_slot_1_axi_arprot[2:0],design_1_i/system_ila_0/inst/net_slot_1_axi_arsize[2:0],design_1_i/system_ila_0/inst/net_slot_1_axi_aruser[3:0],design_1_i/system_ila_0/inst/net_slot_1_axi_aw_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_1_axi_awaddr[31:0],design_1_i/system_ila_0/inst/net_slot_1_axi_awburst[1:0],design_1_i/system_ila_0/inst/net_slot_1_axi_awcache[3:0],design_1_i/system_ila_0/inst/net_slot_1_axi_awlen[7:0],design_1_i/system_ila_0/inst/net_slot_1_axi_awprot[2:0],design_1_i/system_ila_0/inst/net_slot_1_axi_awsize[2:0],design_1_i/system_ila_0/inst/net_slot_1_axi_b_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_1_axi_r_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_1_axi_rdata[31:0],design_1_i/system_ila_0/inst/net_slot_1_axi_rresp[1:0],design_1_i/system_ila_0/inst/net_slot_1_axi_wdata[31:0],design_1_i/system_ila_0/inst/net_slot_1_axi_awvalid,design_1_i/system_ila_0/inst/net_slot_1_axi_aw_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_1_axi_awready,design_1_i/system_ila_0/inst/net_slot_1_axi_wvalid,design_1_i/system_ila_0/inst/net_slot_1_axi_w_ctrl[2:0],design_1_i/system_ila_0/inst/net_slot_1_axi_wready,design_1_i/system_ila_0/inst/net_slot_1_axi_wlast,design_1_i/system_ila_0/inst/net_slot_1_axi_bvalid,design_1_i/system_ila_0/inst/net_slot_1_axi_b_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_1_axi_bready,design_1_i/system_ila_0/inst/net_slot_1_axi_ar_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_1_axi_arvalid,design_1_i/system_ila_0/inst/net_slot_1_axi_arready,design_1_i/system_ila_0/inst/net_slot_1_axi_r_ctrl[2:0],design_1_i/system_ila_0/inst/net_slot_1_axi_rvalid,design_1_i/system_ila_0/inst/net_slot_1_axi_rready,design_1_i/system_ila_0/inst/net_slot_1_axi_rlast,design_1_i/system_ila_0/inst/net_slot_2_axi_ar_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_2_axi_araddr[31:0],design_1_i/system_ila_0/inst/net_slot_2_axi_arprot[2:0],design_1_i/system_ila_0/inst/net_slot_2_axi_aw_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_2_axi_awaddr[31:0],design_1_i/system_ila_0/inst/net_slot_2_axi_awprot[2:0],design_1_i/system_ila_0/inst/net_slot_2_axi_b_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_2_axi_r_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_2_axi_rdata[31:0],design_1_i/system_ila_0/inst/net_slot_2_axi_rresp[1:0],design_1_i/system_ila_0/inst/net_slot_2_axi_wdata[31:0],design_1_i/system_ila_0/inst/net_slot_2_axi_awvalid,design_1_i/system_ila_0/inst/net_slot_2_axi_aw_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_2_axi_awready,design_1_i/system_ila_0/inst/net_slot_2_axi_w_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_2_axi_wvalid,design_1_i/system_ila_0/inst/net_slot_2_axi_wready,design_1_i/system_ila_0/inst/net_slot_2_axi_b_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_2_axi_bvalid,design_1_i/system_ila_0/inst/net_slot_2_axi_bready,design_1_i/system_ila_0/inst/net_slot_2_axi_ar_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_2_axi_arvalid,design_1_i/system_ila_0/inst/net_slot_2_axi_arready,design_1_i/system_ila_0/inst/net_slot_2_axi_r_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_2_axi_rvalid,design_1_i/system_ila_0/inst/net_slot_2_axi_rready,design_1_i/system_ila_0/inst/net_slot_3_axi_ar_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_3_axi_araddr[31:0],design_1_i/system_ila_0/inst/net_slot_3_axi_arprot[2:0],design_1_i/system_ila_0/inst/net_slot_3_axi_aw_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_3_axi_awaddr[31:0],design_1_i/system_ila_0/inst/net_slot_3_axi_awprot[2:0],design_1_i/system_ila_0/inst/net_slot_3_axi_b_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_3_axi_bresp[1:0],design_1_i/system_ila_0/inst/net_slot_3_axi_r_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_3_axi_rdata[31:0],design_1_i/system_ila_0/inst/net_slot_3_axi_rresp[1:0],design_1_i/system_ila_0/inst/net_slot_3_axi_wdata[31:0],design_1_i/system_ila_0/inst/net_slot_3_axi_wstrb[3:0],design_1_i/system_ila_0/inst/net_slot_3_axi_aw_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_3_axi_awvalid,design_1_i/system_ila_0/inst/net_slot_3_axi_awready,design_1_i/system_ila_0/inst/net_slot_3_axi_wvalid,design_1_i/system_ila_0/inst/net_slot_3_axi_w_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_3_axi_wready,design_1_i/system_ila_0/inst/net_slot_3_axi_bvalid,design_1_i/system_ila_0/inst/net_slot_3_axi_b_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_3_axi_bready,design_1_i/system_ila_0/inst/net_slot_3_axi_ar_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_3_axi_arvalid,design_1_i/system_ila_0/inst/net_slot_3_axi_arready,design_1_i/system_ila_0/inst/net_slot_3_axi_r_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_3_axi_rvalid,design_1_i/system_ila_0/inst/net_slot_3_axi_rready,AR_Channel_(i1:s1)_(dfx_controller_0_M_AXI_MEM)[2:0],AR_Channel_(i1:s2)_(axi_interconnect_0_M00_AXI)[2:0],AR_Channel_(i1:s3)_(axi_mm2s_mapper_0_M_AXI)[2:0],AW_Channel_(i1:s1)_(dfx_controller_0_M_AXI_MEM)[2:0],AW_Channel_(i1:s2)_(axi_interconnect_0_M00_AXI)[2:0],AW_Channel_(i1:s3)_(axi_mm2s_mapper_0_M_AXI)[2:0],B_Channel_(i1:s1)_(dfx_controller_0_M_AXI_MEM)[2:0],B_Channel_(i1:s2)_(axi_interconnect_0_M00_AXI)[2:0],B_Channel_(i1:s3)_(axi_mm2s_mapper_0_M_AXI)[2:0],Interface_(i1:s1)_(dfx_controller_0_M_AXI_MEM)[2:0],Interface_(i1:s2)_(axi_interconnect_0_M00_AXI)[2:0],Interface_(i1:s3)_(axi_mm2s_mapper_0_M_AXI)[2:0],R_Channel_(i1:s1)_(dfx_controller_0_M_AXI_MEM)[2:0],R_Channel_(i1:s2)_(axi_interconnect_0_M00_AXI)[2:0],R_Channel_(i1:s3)_(axi_mm2s_mapper_0_M_AXI)[2:0],W_Channel_(i1:s1)_(dfx_controller_0_M_AXI_MEM)[2:0],W_Channel_(i1:s2)_(axi_interconnect_0_M00_AXI)[2:0],W_Channel_(i1:s3)_(axi_mm2s_mapper_0_M_AXI)[2:0],ila_1___slot_1___dfx_controller_0_M_AXI_MEM___Read_Transactions_0[15:0],ila_1___slot_2___axi_interconnect_0_M00_AXI___Read_Transactions_0[15:0],ila_1___slot_3___axi_mm2s_mapper_0_M_AXI___Read_Transactions_0[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0,1,0,0,0,2,0,0,1,00000000000000000000000000000000000000000000000000000000000000f1,0,00000000000000000000000000000000,00000000000000000000000000000000,0,1,00000000,ffffff9b,0,1,1,0,0,00000000,"FIXED",3,00,"Data Secure Unprivileged","1 byte",0,0,00000000,"INCR",3,00,"Data Secure Unprivileged","4 bytes",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,"OKAY",0,00000000,"OKAY",00000000,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,"_","_","_","No Write Addr Cmds","No Write Addr Cmds","No Write Addr Cmds","No Write Responses","No Write Responses","No Write Responses","_","_","_","_","_","_","No Write Data Beats","No Write Data Beats","No Write Data Beats","_","_","_"
1,1,0,0,0,1,0,0,0,2,0,0,1,00000000000000000000000000000000000000000000000000000000000000f1,0,00000000000000000000000000000000,00000000000000000000000000000000,0,1,00000000,ffffff9b,0,1,1,0,0,00000000,"FIXED",3,00,"Data Secure Unprivileged","1 byte",0,0,00000000,"INCR",3,00,"Data Secure Unprivileged","4 bytes",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,"OKAY",0,00000000,"OKAY",00000000,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,"_","_","_","No Write Addr Cmds","No Write Addr Cmds","No Write Addr Cmds","No Write Responses","No Write Responses","No Write Responses","_","_","_","_","_","_","No Write Data Beats","No Write Data Beats","No Write Data Beats","_","_","_"
2,2,0,0,0,1,0,0,0,2,0,0,1,00000000000000000000000000000000000000000000000000000000000000f1,0,00000000000000000000000000000000,00000000000000000000000000000000,0,1,00000000,ffffff9b,0,1,1,0,0,00000000,"FIXED",3,00,"Data Secure Unprivileged","1 byte",0,0,00000000,"INCR",3,00,"Data Secure Unprivileged","4 bytes",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,"OKAY",0,00000000,"OKAY",00000000,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,"_","_","_","No Write Addr Cmds","No Write Addr Cmds","No Write Addr Cmds","No Write Responses","No Write Responses","No Write Responses","_","_","_","_","_","_","No Write Data Beats","No Write Data Beats","No Write Data Beats","_","_","_"
3,3,0,0,0,1,0,0,0,2,0,0,1,00000000000000000000000000000000000000000000000000000000000000f1,0,00000000000000000000000000000000,00000000000000000000000000000000,0,1,00000000,ffffff9b,0,1,1,0,0,00000000,"FIXED",3,00,"Data Secure Unprivileged","1 byte",0,0,00000000,"INCR",3,00,"Data Secure Unprivileged","4 bytes",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,"OKAY",0,00000000,"OKAY",00000000,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,"_","_","_","No Write Addr Cmds","No Write Addr Cmds","No Write Addr Cmds","No Write Responses","No Write Responses","No Write Responses","_","_","_","_","_","_","No Write Data Beats","No Write Data Beats","No Write Data Beats","_","_","_"
4,4,0,0,0,1,0,0,0,2,0,0,1,00000000000000000000000000000000000000000000000000000000000000f1,0,00000000000000000000000000000000,00000000000000000000000000000000,0,1,00000000,ffffff9b,0,1,1,0,0,00000000,"FIXED",3,00,"Data Secure Unprivileged","1 byte",0,0,00000000,"INCR",3,00,"Data Secure Unprivileged","4 bytes",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,"OKAY",0,00000000,"OKAY",00000000,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,"_","_","_","No Write Addr Cmds","No Write Addr Cmds","No Write Addr Cmds","No Write Responses","No Write Responses","No Write Responses","_","_","_","_","_","_","No Write Data Beats","No Write Data Beats","No Write Data Beats","_","_","_"
5,5,0,0,0,1,0,0,0,2,0,0,1,00000000000000000000000000000000000000000000000000000000000000f1,0,00000000000000000000000000000000,00000000000000000000000000000000,0,1,00000000,ffffff9b,0,1,1,0,0,00000000,"FIXED",3,00,"Data Secure Unprivileged","1 byte",0,0,00000000,"INCR",3,00,"Data Secure Unprivileged","4 bytes",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,"OKAY",0,00000000,"OKAY",00000000,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,"_","_","_","No Write Addr Cmds","No Write Addr Cmds","No Write Addr Cmds","No Write Responses","No Write Responses","No Write Responses","_","_","_","_","_","_","No Write Data Beats","No Write Data Beats","No Write Data Beats","_","_","_"
6,6,0,0,0,1,0,0,0,2,0,0,1,00000000000000000000000000000000000000000000000000000000000000f1,0,00000000000000000000000000000000,00000000000000000000000000000000,0,1,00000000,ffffff9b,0,1,1,0,0,00000000,"FIXED",3,00,"Data Secure Unprivileged","1 byte",0,0,00000000,"INCR",3,00,"Data Secure Unprivileged","4 bytes",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,"OKAY",0,00000000,"OKAY",00000000,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,"_","_","_","No Write Addr Cmds","No Write Addr Cmds","No Write Addr Cmds","No Write Responses","No Write Responses","No Write Responses","_","_","_","_","_","_","No Write Data Beats","No Write Data Beats","No Write Data Beats","_","_","_"
7,7,0,0,0,1,0,0,0,2,0,0,1,00000000000000000000000000000000000000000000000000000000000000f1,0,00000000000000000000000000000000,00000000000000000000000000000000,0,1,00000000,ffffff9b,0,1,1,0,0,00000000,"FIXED",3,00,"Data Secure Unprivileged","1 byte",0,0,00000000,"INCR",3,00,"Data Secure Unprivileged","4 bytes",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,"OKAY",0,00000000,"OKAY",00000000,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,"_","_","_","No Write Addr Cmds","No Write Addr Cmds","No Write Addr Cmds","No Write Responses","No Write Responses","No Write Responses","_","_","_","_","_","_","No Write Data Beats","No Write Data Beats","No Write Data Beats","_","_","_"
8,8,0,0,0,1,0,0,0,2,0,0,1,00000000000000000000000000000000000000000000000000000000000000f1,0,00000000000000000000000000000000,00000000000000000000000000000000,0,1,00000000,ffffff9b,0,1,1,0,0,00000000,"FIXED",3,00,"Data Secure Unprivileged","1 byte",0,0,00000000,"INCR",3,00,"Data Secure Unprivileged","4 bytes",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,0,00000000,"OKAY",00000000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,00000000,"Data Secure Unprivileged",0,00000000,"Data Secure Unprivileged",0,"OKAY",0,00000000,"OKAY",00000000,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,"_","_","_","No Write Addr Cmds","No Write Addr Cmds","No Write Addr Cmds","No Write Responses","No Write Responses","No Write Responses","_","_","_","_","_","_","No Write Data Beats","No Write Data Beats","No Write Data Beats","_","_","_"
